"","tconst","m1","m2","m3","m4"
"251","tt0022737","of human bondage","the wizard of oz","all about eve","rear window"
"252","tt0022787","to be or not to be","once upon a time in the west","amadeus","cinema paradiso"
"253","tt0022835","citizen kane","casablanca","vertigo","psycho"
"254","tt0022854","citizen kane","psycho","a clockwork orange","cinema paradiso"
"255","tt0022879","gone with the wind","the maltese falcon","casablanca","lawrence of arabia"
"256","tt0022905","citizen kane","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"257","tt0022913","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb","a clockwork orange","blade runner"
"258","tt0022958","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"259","tt0023027","duck soup","a night at the opera","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"260","tt0023038","it happened one night","snow white and the seven dwarfs","pinocchio","rear window"
"261","tt0023042","citizen kane","rear window","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb"
"262","tt0023049","the philadelphia story","an american in paris","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb"
"263","tt0023101","for whom the bell tolls","the wild bunch","blade runner","batman"
"264","tt0023151","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"265","tt0023158","casablanca","sunset boulevard","psycho","2001: a space odyssey"
"266","tt0023194","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","blade runner"
"267","tt0023196","the philadelphia story","an american in paris","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb"
"268","tt0023225","singin' in the rain","rear window","north by northwest","dr. strangelove or: how i learned to stop worrying and love the bomb"
"269","tt0023238","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"270","tt0023245","frankenstein","the wizard of oz","casablanca","psycho"
"271","tt0023285","the philadelphia story","rear window","vertigo","blade runner"
"272","tt0023293","citizen kane","it's a wonderful life","rear window","north by northwest"
"273","tt0023303","citizen kane","ikiru","the 400 blows","lost in translation"
"274","tt0023305","the women","the maltese falcon","all about eve","sunset boulevard"
"275","tt0023369","the wizard of oz","citizen kane","a streetcar named desire","dr. strangelove or: how i learned to stop worrying and love the bomb"
"276","tt0023382","casablanca","double indemnity","a streetcar named desire","dr. strangelove or: how i learned to stop worrying and love the bomb"
"277","tt0023385","snow white and the seven dwarfs","pinocchio","pather panchali","blade runner"
"278","tt0023395","the 39 steps","the philadelphia story","rear window","vertigo"
"279","tt0023427","citizen kane","casablanca","psycho","a clockwork orange"
"280","tt0023458","casablanca","the third man","sunset boulevard","2001: a space odyssey"
"281","tt0023470","the philadelphia story","singin' in the rain","north by northwest","breakfast at tiffany's"
"282","tt0023488","the women","the maltese falcon","all about eve","sunset boulevard"
"283","tt0023551","it happened one night","snow white and the seven dwarfs","the wizard of oz","the philadelphia story"
"284","tt0023556","it happened one night","pinocchio","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb"
"285","tt0023563","m","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"286","tt0023584","it happened one night","gone with the wind","casablanca","roman holiday"
