,nconst,primaryName
707,nm0000857,John Drew Barrymore
708,nm0000858,John Barrymore
709,nm0000859,Lionel Barrymore
710,nm0000860,Paul Bartel
711,nm0000861,Freddie Bartholomew
712,nm0000865,Richard Basehart
713,nm0000867,Jason Bateman
714,nm0000869,Alan Bates
715,nm0000870,Kathy Bates
716,nm0000871,Randall Batinkoff
717,nm0000872,Patrick Bauchau
718,nm0000873,Belinda Bauer
719,nm0000874,Steven Bauer
720,nm0000876,Noah Baumbach
721,nm0000877,Lamberto Bava
722,nm0000878,Mario Bava
723,nm0000879,Anne Baxter
724,nm0000881,Michael Bay
725,nm0000882,Nathalie Baye
726,nm0000883,Stephanie Beacham
727,nm0000884,Jennifer Beals
728,nm0000885,Ned Beatty
729,nm0000886,Warren Beatty
730,nm0000887,Harold Becker
731,nm0000889,Bonnie Bedelia
732,nm0000890,Noah Beery Jr.
733,nm0000891,Wallace Beery
734,nm0000893,Ed Begley Jr.
735,nm0000894,Jean-Jacques Beineix
736,nm0000895,Barbara Bel Geddes
737,nm0000896,Harry Belafonte
738,nm0000897,Ralph Bellamy
739,nm0000898,Kathleen Beller
740,nm0000899,Monica Bellucci
741,nm0000901,Jean-Paul Belmondo
742,nm0000902,Jim Belushi
743,nm0000904,William Bendix
744,nm0000905,Roberto Benigni
745,nm0000906,Annette Bening
746,nm0000907,Richard Benjamin
747,nm0000908,David Bennent
748,nm0000909,Constance Bennett
749,nm0000910,Joan Bennett
750,nm0000912,Jack Benny
751,nm0000913,Robby Benson
752,nm0000914,Robert Benton
753,nm0000915,Bruce Beresford
754,nm0000916,Peter Berg
755,nm0000917,Polly Bergen
756,nm0000918,Helmut Berger
757,nm0000919,Senta Berger
758,nm0000920,Patrick Bergin
759,nm0000923,Busby Berkeley
760,nm0000925,Steven Berkoff
761,nm0000926,Milton Berle
762,nm0000928,Sandra Bernhard
763,nm0000929,Corbin Bernsen
764,nm0000931,Elizabeth Berridge
765,nm0000932,Halle Berry
766,nm0000934,Bernardo Bertolucci
